"DrugBankIDs" "DiseaseID"
"DB00001" "MESH:D013921"
"DB00001" "MESH:D020246"
"DB00001" "MESH:D011655"
"DB00001" "MESH:D013927"
"DB00004" "MESH:D008545"
"DB00006" "MESH:D006470"
"DB00006" "MESH:D013927"
"DB00006" "MESH:D048909"
"DB00006" "MESH:D020521"
"DB00006" "MESH:D017202"
"DB00006" "MESH:D007249"
"DB00006" "MESH:D007511"
"DB00006" "MESH:D054058"
"DB00006" "MESH:D013921"
"DB00007" "MESH:D009361"
"DB00007" "MESH:D004715"
"DB00007" "MESH:D007249"
"DB00007" "MESH:D000230"
"DB00007" "MESH:D007889"
"DB00007" "MESH:D011471"
"DB00008" "MESH:D006509"
"DB00008" "MESH:D019698"
"DB00008" "MESH:D019694"
"DB00008" "MESH:D006526"
"DB00011" "MESH:D019698"
"DB00014" "MESH:D004715"
"DB00014" "MESH:D007889"
"DB00014" "MESH:D000544"
"DB00014" "MESH:D001943"
"DB00014" "MESH:D011471"
"DB00015" "MESH:D009203"
"DB00015" "MESH:D011655"
"DB00015" "MESH:D002637"
"DB00015" "MESH:D006976"
"DB00019" "MESH:D009503"
"DB00019" "MESH:D008228"
"DB00019" "MESH:D001943"
"DB00019" "MESH:D010051"
"DB00020" "MESH:D011471"
"DB00022" "MESH:D002292"
"DB00022" "MESH:D019698"
"DB00022" "MESH:D019694"
"DB00022" "MESH:D006258"
"DB00022" "MESH:D006526"
"DB00022" "MESH:D051437"
"DB00022" "MESH:D012878"
"DB00022" "MESH:D008103"
"DB00022" "MESH:D008545"
"DB00026" "MESH:D006331"
"DB00026" "MESH:D004409"
"DB00026" "MESH:D009374"
"DB00026" "MESH:D005334"
"DB00035" "MESH:D011141"
"DB00035" "MESH:D003550"
"DB00038" "MESH:D013921"
"DB00040" "MESH:D006331"
"DB00040" "MESH:D006943"
"DB00040" "MESH:D018149"
"DB00040" "MESH:D017180"
"DB00040" "MESH:D003928"
"DB00040" "MESH:D062787"
"DB00040" "MESH:D007022"
"DB00040" "MESH:D006946"
"DB00040" "MESH:D006327"
"DB00040" "MESH:D051437"
"DB00040" "MESH:D001919"
"DB00040" "MESH:D005355"
"DB00040" "MESH:D000419"
"DB00040" "MESH:D007333"
"DB00040" "MESH:D015430"
"DB00040" "MESH:D013035"
"DB00040" "MESH:D050171"
"DB00050" "MESH:D009101"
"DB00056" "MESH:D015470"
"DB00056" "MESH:D015473"
"DB00059" "MESH:D054218"
"DB00059" "MESH:D015452"
"DB00059" "MESH:D054198"
"DB00063" "MESH:D054058"
"DB00063" "MESH:D007249"
"DB00063" "MESH:D011183"
"DB00067" "MESH:D006470"
"DB00067" "MESH:D006417"
"DB00067" "MESH:D007022"
"DB00069" "MESH:D019698"
"DB00083" "MESH:D053201"
"DB00083" "MESH:D010146"
"DB00083" "MESH:D014277"
"DB00083" "MESH:D004421"
"DB00083" "MESH:D003556"
"DB00083" "MESH:D006967"
"DB00083" "MESH:D007249"
"DB00083" "MESH:D005119"
"DB00083" "MESH:D014555"
"DB00083" "MESH:D006930"
"DB00091" "MESH:D009336"
"DB00091" "MESH:D011183"
"DB00091" "MESH:D001528"
"DB00091" "MESH:D001327"
"DB00091" "MESH:D014605"
"DB00091" "MESH:D003967"
"DB00091" "MESH:D009395"
"DB00091" "MESH:D012516"
"DB00091" "MESH:D005923"
"DB00091" "MESH:D011565"
"DB00091" "MESH:D013921"
"DB00091" "MESH:D001943"
"DB00091" "MESH:D007683"
"DB00091" "MESH:D006526"
"DB00091" "MESH:D006086"
"DB00091" "MESH:D013375"
"DB00091" "MESH:D009157"
"DB00091" "MESH:D051437"
"DB00091" "MESH:D054198"
"DB00091" "MESH:D011507"
"DB00091" "MESH:D002779"
"DB00091" "MESH:D017379"
"DB00091" "MESH:D001169"
"DB00091" "MESH:D058186"
"DB00091" "MESH:D009410"
"DB00091" "MESH:D007674"
"DB00091" "MESH:D054218"
"DB00091" "MESH:D009404"
"DB00091" "MESH:D013226"
"DB00091" "MESH:D019694"
"DB00091" "MESH:D014456"
"DB00091" "MESH:D009069"
"DB00091" "MESH:D007410"
"DB00091" "MESH:D010051"
"DB00091" "MESH:D000744"
"DB00091" "MESH:D004409"
"DB00091" "MESH:D009202"
"DB00091" "MESH:D001172"
"DB00091" "MESH:D012640"
"DB00091" "MESH:D007249"
"DB00091" "MESH:D014890"
"DB00099" "MESH:D009503"
"DB00104" "MESH:D010146"
"DB00104" "MESH:D001749"
"DB00104" "MESH:D008545"
"DB00104" "MESH:D008103"
"DB00104" "MESH:D015746"
"DB00104" "MESH:D006528"
"DB00104" "MESH:D009362"
"DB00104" "MESH:D006934"
"DB00104" "MESH:D007024"
"DB00104" "MESH:D010190"
"DB00104" "MESH:D006975"
"DB00104" "MESH:D000230"
"DB00104" "MESH:D000419"
"DB00104" "MESH:D005355"
"DB00104" "MESH:D011183"
"DB00104" "MESH:D018827"
"DB00104" "MESH:D013274"
"DB00104" "MESH:D006261"
"DB00104" "MESH:D000236"
"DB00104" "MESH:D008106"
"DB00104" "MESH:D003480"
"DB00104" "MESH:D009389"
"DB00104" "MESH:D007511"
"DB00104" "MESH:D003967"
"DB00104" "MESH:D010195"
"DB00107" "MESH:D007674"
"DB00107" "MESH:D001321"
"DB00107" "MESH:D006948"
"DB00107" "MESH:D019969"
"DB00107" "MESH:D006470"
"DB00109" "MESH:D015658"
"DB00114" "MESH:D015179"
"DB00114" "MESH:D007674"
"DB00114" "MESH:D000756"
"DB00115" "MESH:D002386"
"DB00115" "MESH:D000544"
"DB00115" "MESH:D000740"
"DB00115" "MESH:D010523"
"DB00115" "MESH:D007024"
"DB00115" "MESH:D013118"
"DB00115" "MESH:D005234"
"DB00115" "MESH:D003072"
"DB00115" "MESH:D064420"
"DB00115" "MESH:D020521"
"DB00115" "MESH:D010146"
"DB00115" "MESH:D005235"
"DB00115" "MESH:D009461"
"DB00115" "MESH:D016481"
"DB00115" "MESH:D008106"
"DB00115" "MESH:D009369"
"DB00115" "MESH:D001284"
"DB00118" "MESH:D006948"
"DB00118" "MESH:D007037"
"DB00118" "MESH:D003711"
"DB00118" "MESH:D002779"
"DB00118" "MESH:D003072"
"DB00118" "MESH:D008113"
"DB00118" "MESH:D003866"
"DB00118" "MESH:D008106"
"DB00118" "MESH:D056486"
"DB00118" "MESH:D008114"
"DB00118" "MESH:D008103"
"DB00118" "MESH:D013118"
"DB00118" "MESH:D009336"
"DB00118" "MESH:D008107"
"DB00118" "MESH:D006529"
"DB00118" "MESH:D003704"
"DB00118" "MESH:D051437"
"DB00118" "MESH:D012559"
"DB00119" "MESH:D009336"
"DB00121" "MESH:D006943"
"DB00121" "MESH:D007333"
"DB00122" "MESH:D003072"
"DB00122" "MESH:D013733"
"DB00122" "MESH:D000647"
"DB00122" "MESH:D065626"
"DB00122" "MESH:D007249"
"DB00122" "MESH:D005235"
"DB00122" "MESH:D008569"
"DB00122" "MESH:D009845"
"DB00122" "MESH:D006528"
"DB00122" "MESH:D005234"
"DB00122" "MESH:D007859"
"DB00126" "MESH:D011507"
"DB00126" "MESH:D055371"
"DB00126" "MESH:D015658"
"DB00126" "MESH:D013276"
"DB00126" "MESH:D013733"
"DB00126" "MESH:D011085"
"DB00126" "MESH:D009845"
"DB00126" "MESH:D009410"
"DB00126" "MESH:D006973"
"DB00126" "MESH:D002471"
"DB00126" "MESH:D007333"
"DB00126" "MESH:D019636"
"DB00126" "MESH:D003928"
"DB00126" "MESH:D009202"
"DB00126" "MESH:D007037"
"DB00126" "MESH:D006528"
"DB00126" "MESH:D001424"
"DB00126" "MESH:D058186"
"DB00126" "MESH:D056486"
"DB00126" "MESH:D012640"
"DB00126" "MESH:D002277"
"DB00126" "MESH:D007674"
"DB00126" "MESH:D003930"
"DB00126" "MESH:D002386"
"DB00126" "MESH:D001927"
"DB00126" "MESH:D009765"
"DB00126" "MESH:D006977"
"DB00126" "MESH:D064420"
"DB00126" "MESH:D001943"
"DB00126" "MESH:D019446"
"DB00126" "MESH:D005910"
"DB00126" "MESH:D009369"
"DB00126" "MESH:D007945"
"DB00126" "MESH:D009135"
"DB00126" "MESH:D002545"
"DB00126" "MESH:D008103"
"DB00126" "MESH:D011041"
"DB00126" "MESH:D013226"
"DB00126" "MESH:D015431"
"DB00126" "MESH:D006930"
"DB00126" "MESH:D001008"
"DB00126" "MESH:D012871"
"DB00126" "MESH:D011654"
"DB00126" "MESH:D007683"
"DB00126" "MESH:D011658"
"DB00126" "MESH:D009203"
"DB00126" "MESH:D009374"
"DB00126" "MESH:D010523"
"DB00126" "MESH:D006946"
"DB00126" "MESH:D001749"
"DB00126" "MESH:D007022"
"DB00126" "MESH:D002375"
"DB00126" "MESH:D003327"
"DB00126" "MESH:D018450"
"DB00126" "MESH:D009336"
"DB00126" "MESH:D008171"
"DB00126" "MESH:D009422"
"DB00126" "MESH:D013375"
"DB00126" "MESH:D020521"
"DB00126" "MESH:D066126"
"DB00126" "MESH:D004890"
"DB00126" "MESH:D010190"
"DB00126" "MESH:D008175"
"DB00126" "MESH:D000756"
"DB00126" "MESH:D011297"
"DB00126" "MESH:D011471"
"DB00126" "MESH:D010149"
"DB00126" "MESH:D000647"
"DB00130" "MESH:D006943"
"DB00130" "MESH:D006946"
"DB00130" "MESH:D007674"
"DB00130" "MESH:D015430"
"DB00130" "MESH:D007333"
"DB00132" "MESH:D003866"
"DB00132" "MESH:D064420"
"DB00132" "MESH:D056486"
"DB00132" "MESH:D062025"
"DB00132" "MESH:D001930"
"DB00132" "MESH:D009069"
"DB00132" "MESH:D007249"
"DB00132" "MESH:D009422"
"DB00132" "MESH:D008569"
"DB00134" "MESH:D007249"
"DB00134" "MESH:D006505"
"DB00134" "MESH:D005910"
"DB00134" "MESH:D013118"
"DB00134" "MESH:D034381"
"DB00134" "MESH:D006528"
"DB00134" "MESH:D008106"
"DB00134" "MESH:D065626"
"DB00134" "MESH:D056486"
"DB00134" "MESH:D015431"
"DB00134" "MESH:D005235"
"DB00134" "MESH:D019970"
"DB00134" "MESH:D012640"
"DB00134" "MESH:D003711"
"DB00134" "MESH:D011041"
"DB00136" "MESH:D015179"
"DB00136" "MESH:D012878"
"DB00136" "MESH:D008175"
"DB00136" "MESH:D011565"
"DB00136" "MESH:D007676"
"DB00136" "MESH:D005921"
"DB00136" "MESH:D004681"
"DB00136" "MESH:D012141"
"DB00136" "MESH:D009374"
"DB00136" "MESH:D000505"
"DB00136" "MESH:D001943"
"DB00136" "MESH:D015663"
"DB00136" "MESH:D015470"
"DB00136" "MESH:D009069"
"DB00136" "MESH:D000419"
"DB00136" "MESH:D005355"
"DB00136" "MESH:D015473"
"DB00136" "MESH:D009101"
"DB00136" "MESH:D000740"
"DB00136" "MESH:D006258"
"DB00136" "MESH:D002294"
"DB00136" "MESH:D011183"
"DB00136" "MESH:D011470"
"DB00136" "MESH:D010190"
"DB00136" "MESH:D051437"
"DB00136" "MESH:D007938"
"DB00136" "MESH:D013733"
"DB00136" "MESH:D008223"
"DB00136" "MESH:D011654"
"DB00136" "MESH:D007945"
"DB00136" "MESH:D005910"
"DB00136" "MESH:D011471"
"DB00136" "MESH:D006965"
"DB00136" "MESH:D007249"
"DB00136" "MESH:D006934"
"DB00139" "MESH:D003128"
"DB00139" "MESH:D062787"
"DB00139" "MESH:D007035"
"DB00140" "MESH:D012871"
"DB00140" "MESH:D015228"
"DB00140" "MESH:D002386"
"DB00140" "MESH:D006261"
"DB00140" "MESH:D009369"
"DB00140" "MESH:D007249"
"DB00140" "MESH:D020521"
"DB00140" "MESH:D019954"
"DB00140" "MESH:D015179"
"DB00140" "MESH:D001943"
"DB00140" "MESH:D008881"
"DB00143" "MESH:D002294"
"DB00143" "MESH:D003556"
"DB00143" "MESH:D009202"
"DB00143" "MESH:D003550"
"DB00143" "MESH:D013272"
"DB00143" "MESH:D004487"
"DB00143" "MESH:D009422"
"DB00143" "MESH:D006470"
"DB00143" "MESH:D020258"
"DB00143" "MESH:D006331"
"DB00143" "MESH:D007674"
"DB00143" "MESH:D009069"
"DB00143" "MESH:D010051"
"DB00143" "MESH:D001745"
"DB00143" "MESH:D011085"
"DB00143" "MESH:D012640"
"DB00143" "MESH:D064420"
"DB00143" "MESH:D008113"
"DB00143" "MESH:D004409"
"DB00143" "MESH:D006417"
"DB00143" "MESH:D056486"
"DB00143" "MESH:D006973"
"DB00144" "MESH:D000647"
"DB00146" "MESH:D009135"
"DB00146" "MESH:D011471"
"DB00148" "MESH:D020734"
"DB00148" "MESH:D004409"
"DB00148" "MESH:D003866"
"DB00148" "MESH:D006816"
"DB00148" "MESH:D009135"
"DB00151" "MESH:D008546"
"DB00151" "MESH:D008106"
"DB00151" "MESH:D017114"
"DB00151" "MESH:D007683"
"DB00151" "MESH:D064420"
"DB00151" "MESH:D020258"
"DB00152" "MESH:D010146"
"DB00152" "MESH:D002386"
"DB00152" "MESH:D006333"
"DB00152" "MESH:D001927"
