"DrugBankIDs" "Target.uniprot"
"DB00001" "P00734"
"DB00004" "P01589; P31785; P14784"
"DB00006" "P00734; P05164"
"DB00007" "P30968; P08684"
"DB00008" "P48551; P17181; P05177"
"DB00011" "P48551; P17181"
"DB00014" "P22888; P30968"
"DB00015" "Q03405; P02671; P00747; P05121"
"DB00019" "Q99062; P08246"
"DB00020" "P15509; P13727; P26951; P32927; P34741"
"DB00022" "P17181; P48551; P05177; P10635; P11712"
"DB00026" "P14778"
"DB00035" "P37288; P47901; P30518; P23219; P35354"
"DB00038" "Q14626"
"DB00040" "P47871; O95838; P43220"
"DB00050" "P22888; P30968"
"DB00056" "P20138; O75015; P00736; P02745; P02746; P02747; P08637; P09871; P12314; P12318; P31994; P31995"
"DB00059" "; P05543"
"DB00063" "P05106"
"DB00067" "P37288; P30518; P47901; Q92887"
"DB00069" "P17181; P48551"
"DB00083" "P60880; P62745"
"DB00091" "P49069; P62937; Q96LZ3; P20815; P08684; P24462; P08183; O15438; O95342; P46721; Q12908; Q14973; Q4U2R8; Q5T3U5; Q92887; Q9UNQ0; Q9Y6L6; P33261; P10632; P11712; P10635; P30405; Q9NPD5"
"DB00099" "Q99062; P08246"
"DB00104" "P30872; P35346; P30874; P05164; P08684"
"DB00107" "P01178; P30559; P48147"
"DB00109" "Q53I07; P33261; P05181"
"DB00114" "P35520; Q9BYV1; Q99259; Q16719; P34896; Q9Y697; P17174; P04181; P11926; Q8N5Z0; P80404; Q9NVS9; O95470; P17735; Q16773; Q8IYQ7; P06737; O15270; Q9Y600; P19113; Q96A70; P20132; O75600; P23378; P24298; Q9Y617; P13196; P21549; Q96GD0; O15269; P32929; P54687; O15382; O94903; O95954; P00505; P11216; P11217; P20711; Q2TU84; Q53ET4; Q59FK2; Q59GM9; Q59HE2; Q5JAM2; Q5VZ30; Q6IBS8; Q6P996; Q6YP21; Q6ZQY3; Q96I15; Q6WRI0; Q8IUZ5; Q8IVA8; P34897; P22557; Q8TD30; Q96EN8; Q96GA7; Q96JQ3; Q9BXA1; Q9GZT4; Q9HD40; Q9NUV7; Q9UGI5; Q9UJX1"
"DB00115" "Q9UBK8; Q8IVH4; P22033; Q9Y4U1; Q99707; P42898; Q9BXJ7; P20061; P20062; Q96EY8; P27352; O60494; Q05599; P98164; P33527;"
"DB00118" "Q14749; P17707; P31153; P35520; Q00266; P05181; P21964; P19623; Q8N1G2; Q9HBK9"
"DB00119" "O15427; P36021; Q9BYV1; O15375; P30613; O15403; O60669; P11177; P14618; P80404; O15374; O95907; P53985; P11498; Q8TF71; Q92959"
"DB00121" "P05166; P50747; Q9Y289; Q9HCC0; O00763; Q96RQ3; P11498; P05165; Q13085; Q16678"
"DB00122" "Q9Y5K3; P22303; P49585; O14939; P06276; Q13393; Q8TCT1; O15244; O15245; O75751; O76082; Q9H015; Q9Y6K0; Q8WWI5; Q53GD3; Q8IWA5; Q8N4M1; Q9Y259; P28329; P35790; Q8NE62; Q9GZV3; P36544"
"DB00126" "P13674; Q9UHI7; Q02809; Q54873; ; P24300; O00469; O14832; O60568; O75936; P09172; P19021; Q32P28; Q6N063; Q6NS38; Q8IVL5; Q8IVL6; Q8N543; Q96KS0; Q96Q83; Q9BY66; Q9GZT9; Q9H6Z9; Q9NVH6; Q9NXG6; P09848"
"DB00130" "P17812; Q06203; P15104; Q8TF71; P00488; O94925; Q9UI32; P21980; O43548; O95932; P22735; P49221; Q08188; Q96PF1; Q99624; Q15758; P49915; P08243; Q16773; O15067; O75879; O94808; P27708; P47897; Q6IA69; Q9UHI5"
"DB00132" "O15540; O60427; O95864; P32418; Q8NER1; Q9GZR5; Q07869; Q96RI1; Q03181; P37231; P19793"
"DB00134" "Q9UBK8; Q99707; P50579; Q93088; Q9H2M3; P15104; P42898; Q8TF71; P31153; Q9Y3D2; Q00266; Q9NZV6; Q9UJ68; P56192; Q96GW9; Q9NZL9"
"DB00136" "P11473; Q07973; P08684; P31260; P02774"
