"Entry" "Name" "Uniprot_id"
4142 "Lysosome" "P20645"
4145 "Phagosome" "P20645"
4915 "Estrogen signaling pathway" "Q02790"
830 "Retinol metabolism" "Q9NR63"
511 "Other glycan degradation" "Q9BTY2"
534 "Glycosaminoglycan biosynthesis - heparan sulfate / heparin" "O14792"
4360 "Axon guidance" "Q13275"
4976 "Bile secretion" "P13569"
4972 "Pancreatic secretion" "P13569"
2010 "ABC transporters" "P13569"
5110 "Vibrio cholerae infection" "P13569"
4971 "Gastric acid secretion" "P13569"
100 "Steroid biosynthesis" "Q16850"
1100 "Metabolic pathways" "Q16850"
4060 "Cytokine-cytokine receptor interaction" "Q9Y258"
4062 "Chemokine signaling pathway" "Q9Y258"
5212 "Pancreatic cancer" "P11233"
4015 "Rap1 signaling pathway" "P11233"
4014 "Ras signaling pathway" "P11233"
5200 "Pathways in cancer" "P11233"
4261 "Adrenergic signaling in cardiomyocytes" "O60359"
5414 "Dilated cardiomyopathy" "O60359"
5412 "Arrhythmogenic right ventricular cardiomyopathy (ARVC)" "O60359"
4260 "Cardiac muscle contraction" "O60359"
4010 "MAPK signaling pathway" "O60359"
5410 "Hypertrophic cardiomyopathy (HCM)" "O60359"
4330 "Notch signaling pathway" "O14641"
4390 "Hippo signaling pathway" "O14641"
4310 "Wnt signaling pathway" "O14641"
5217 "Basal cell carcinoma" "O14641"
4916 "Melanogenesis" "O14641"
5200 "Pathways in cancer" "O14641"
5166 "HTLV-I infection" "O14641"
5202 "Transcriptional misregulation in cancer" "P31270"
4668 "TNF signaling pathway" "P78423"
4062 "Chemokine signaling pathway" "P78423"
4060 "Cytokine-cytokine receptor interaction" "P78423"
5010 "Alzheimer's disease" "O14561"
1100 "Metabolic pathways" "O14561"
5012 "Parkinson's disease" "O14561"
5016 "Huntington's disease" "O14561"
190 "Oxidative phosphorylation" "O14561"
4932 "Non-alcoholic fatty liver disease (NAFLD)" "O14561"
4512 "ECM-receptor interaction" "P26006"
4810 "Regulation of actin cytoskeleton" "P26006"
5200 "Pathways in cancer" "P26006"
5414 "Dilated cardiomyopathy" "P26006"
5412 "Arrhythmogenic right ventricular cardiomyopathy (ARVC)" "P26006"
4510 "Focal adhesion" "P26006"
4151 "PI3K-Akt signaling pathway" "P26006"
5222 "Small cell lung cancer" "P26006"
4640 "Hematopoietic cell lineage" "P26006"
5410 "Hypertrophic cardiomyopathy (HCM)" "P26006"
4710 "Circadian rhythm" "Q16526"
4640 "Hematopoietic cell lineage" "P21926"
5152 "Tuberculosis" "P04233"
4612 "Antigen processing and presentation" "P04233"
5168 "Herpes simplex infection" "P04233"
982 "Drug metabolism - cytochrome P450" "P10620"
980 "Metabolism of xenobiotics by cytochrome P450" "P10620"
5204 "Chemical carcinogenesis" "P10620"
480 "Glutathione metabolism" "P10620"
4972 "Pancreatic secretion" "P15085"
4974 "Protein digestion and absorption" "P15085"
4514 "Cell adhesion molecules (CAMs)" "P01730"
4612 "Antigen processing and presentation" "P01730"
4660 "T cell receptor signaling pathway" "P01730"
5340 "Primary immunodeficiency" "P01730"
4640 "Hematopoietic cell lineage" "P01730"
4010 "MAPK signaling pathway" "P53041"
230 "Purine metabolism" "P15531"
1100 "Metabolic pathways" "P15531"
240 "Pyrimidine metabolism" "P15531"
3420 "Nucleotide excision repair" "P07992"
3460 "Fanconi anemia pathway" "P07992"
860 "Porphyrin and chlorophyll metabolism" "Q7KZN9"
1100 "Metabolic pathways" "Q7KZN9"
190 "Oxidative phosphorylation" "Q7KZN9"
534 "Glycosaminoglycan biosynthesis - heparan sulfate / heparin" "Q9H1B5"
532 "Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate" "Q9H1B5"
1100 "Metabolic pathways" "Q9H1B5"
4976 "Bile secretion" "P47872"
4080 "Neuroactive ligand-receptor interaction" "P47872"
4972 "Pancreatic secretion" "P47872"
5200 "Pathways in cancer" "Q15311"
4014 "Ras signaling pathway" "Q15311"
5212 "Pancreatic cancer" "Q15311"
4144 "Endocytosis" "A5PKW4"
4520 "Adherens junction" "O43623"
4390 "Hippo signaling pathway" "O43623"
4974 "Protein digestion and absorption" "P82251"
5033 "Nicotine addiction" "P14867"
4080 "Neuroactive ligand-receptor interaction" "P14867"
4727 "GABAergic synapse" "P14867"
4723 "Retrograde endocannabinoid signaling" "P14867"
5032 "Morphine addiction" "P14867"
1100 "Metabolic pathways" "Q9BRB3"
563 "Glycosylphosphatidylinositol(GPI)-anchor biosynthesis" "Q9BRB3"
1100 "Metabolic pathways" "Q9UBV7"
532 "Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate" "Q9UBV7"
534 "Glycosaminoglycan biosynthesis - heparan sulfate / heparin" "Q9UBV7"
1100 "Metabolic pathways" "Q9P2E5"
532 "Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate" "Q9P2E5"
4140 "Regulation of autophagy" "P60520"
4727 "GABAergic synapse" "P60520"
4068 "FoxO signaling pathway" "P60520"
330 "Arginine and proline metabolism" "P00480"
1100 "Metabolic pathways" "P00480"
1230 "Biosynthesis of amino acids" "P00480"
1100 "Metabolic pathways" "Q9BV20"
270 "Cysteine and methionine metabolism" "Q9BV20"
4970 "Salivary secretion" "Q8NFU1"
3050 "Proteasome" "P25789"
4650 "Natural killer cell mediated cytotoxicity" "Q13094"
4660 "T cell receptor signaling pathway" "Q13094"
4380 "Osteoclast differentiation" "Q13094"
4664 "Fc epsilon RI signaling pathway" "Q13094"
4015 "Rap1 signaling pathway" "Q13094"
4350 "TGF-beta signaling pathway" "P07585"
5205 "Proteoglycans in cancer" "P07585"
4060 "Cytokine-cytokine receptor interaction" "Q02223"
4672 "Intestinal immune network for IgA production" "Q02223"
3010 "Ribosome" "P82664"
4740 "Olfactory transduction" "P43080"
4744 "Phototransduction" "P43080"
4145 "Phagosome" "Q15836"
4130 "SNARE interactions in vesicular transport" "Q15836"
3030 "DNA replication" "P35250"
3420 "Nucleotide excision repair" "P35250"
3430 "Mismatch repair" "P35250"
4910 "Insulin signaling pathway" "Q6ZSY5"
4670 "Leukocyte transendothelial migration" "O75508"
4530 "Tight junction" "O75508"
5160 "Hepatitis C" "O75508"
4514 "Cell adhesion molecules (CAMs)" "O75508"
4060 "Cytokine-cytokine receptor interaction" "Q969Z4"
5412 "Arrhythmogenic right ventricular cardiomyopathy (ARVC)" "Q99959"
562 "Inositol phosphate metabolism" "Q96PE3"
4070 "Phosphatidylinositol signaling system" "Q96PE3"
1100 "Metabolic pathways" "Q96PE3"
4725 "Cholinergic synapse" "P29992"
4912 "GnRH signaling pathway" "P29992"
5146 "Amoebiasis" "P29992"
4270 "Vascular smooth muscle contraction" "P29992"
4540 "Gap junction" "P29992"
4020 "Calcium signaling pathway" "P29992"
5142 "Chagas disease (American trypanosomiasis)" "P29992"
4730 "Long-term depression" "P29992"
4911 "Insulin secretion" "P29992"
5016 "Huntington's disease" "Q68CJ9"
5031 "Amphetamine addiction" "Q68CJ9"
4725 "Cholinergic synapse" "Q68CJ9"
4918 "Thyroid hormone synthesis" "Q68CJ9"
4261 "Adrenergic signaling in cardiomyocytes" "Q68CJ9"
4151 "PI3K-Akt signaling pathway" "Q68CJ9"
4911 "Insulin secretion" "Q68CJ9"
4915 "Estrogen signaling pathway" "Q68CJ9"
5030 "Cocaine addiction" "Q68CJ9"
5034 "Alcoholism" "Q68CJ9"
5161 "Hepatitis B" "Q68CJ9"
5215 "Prostate cancer" "Q68CJ9"
4962 "Vasopressin-regulated water reabsorption" "Q68CJ9"
5203 "Viral carcinogenesis" "Q68CJ9"
4728 "Dopaminergic synapse" "Q68CJ9"
4668 "TNF signaling pathway" "Q68CJ9"
4916 "Melanogenesis" "Q68CJ9"
1100 "Metabolic pathways" "Q9NUD9"
563 "Glycosylphosphatidylinositol(GPI)-anchor biosynthesis" "Q9NUD9"
5203 "Viral carcinogenesis" "Q8WUI4"
5034 "Alcoholism" "Q8WUI4"
4514 "Cell adhesion molecules (CAMs)" "P20273"
4640 "Hematopoietic cell lineage" "P20273"
4662 "B cell receptor signaling pathway" "P20273"
4974 "Protein digestion and absorption" "P51787"
4972 "Pancreatic secretion" "P51787"
5110 "Vibrio cholerae infection" "P51787"
4261 "Adrenergic signaling in cardiomyocytes" "P51787"
4971 "Gastric acid secretion" "P51787"
4725 "Cholinergic synapse" "P51787"
4742 "Taste transduction" "Q9NZQ8"
4622 "RIG-I-like receptor signaling pathway" "Q96G74"
3040 "Spliceosome" "O60306"
512 "Mucin type O-Glycan biosynthesis" "Q9NSC7"
1100 "Metabolic pathways" "Q9NSC7"
3050 "Proteasome" "P43686"
5169 "Epstein-Barr virus infection" "P43686"
4144 "Endocytosis" "Q15027"
4141 "Protein processing in endoplasmic reticulum" "Q9GZP9"
4145 "Phagosome" "Q9HBY0"
4380 "Osteoclast differentiation" "Q9HBY0"
4670 "Leukocyte transendothelial migration" "Q9HBY0"
4066 "HIF-1 signaling pathway" "Q9HBY0"
4514 "Cell adhesion molecules (CAMs)" "P32942"
5160 "Hepatitis C" "P19438"
4210 "Apoptosis" "P19438"
4380 "Osteoclast differentiation" "P19438"
4010 "MAPK signaling pathway" "P19438"
5014 "Amyotrophic lateral sclerosis (ALS)" "P19438"
4932 "Non-alcoholic fatty liver disease (NAFLD)" "P19438"
5164 "Influenza A" "P19438"
4060 "Cytokine-cytokine receptor interaction" "P19438"
4668 "TNF signaling pathway" "P19438"
5168 "Herpes simplex infection" "P19438"
5010 "Alzheimer's disease" "P19438"
4064 "NF-kappa B signaling pathway" "P19438"
5166 "HTLV-I infection" "P19438"
4920 "Adipocytokine signaling pathway" "P19438"
5152 "Tuberculosis" "P19438"
5142 "Chagas disease (American trypanosomiasis)" "P19438"
5145 "Toxoplasmosis" "P19438"
4261 "Adrenergic signaling in cardiomyocytes" "Q15173"
4728 "Dopaminergic synapse" "Q15173"
3015 "mRNA surveillance pathway" "Q15173"
4151 "PI3K-Akt signaling pathway" "Q15173"
4114 "Oocyte meiosis" "Q15173"
1100 "Metabolic pathways" "P11217"
500 "Starch and sucrose metabolism" "P11217"
4910 "Insulin signaling pathway" "P11217"
4668 "TNF signaling pathway" "P20749"
563 "Glycosylphosphatidylinositol(GPI)-anchor biosynthesis" "Q92521"
1100 "Metabolic pathways" "Q92521"
4360 "Axon guidance" "P29322"
330 "Arginine and proline metabolism" "O15460"
1100 "Metabolic pathways" "O15460"
5010 "Alzheimer's disease" "Q99714"
1100 "Metabolic pathways" "Q99714"
280 "Valine, leucine and isoleucine degradation" "Q99714"
4014 "Ras signaling pathway" "P08620"
5218 "Melanoma" "P08620"
5205 "Proteoglycans in cancer" "P08620"
4010 "MAPK signaling pathway" "P08620"
5200 "Pathways in cancer" "P08620"
4015 "Rap1 signaling pathway" "P08620"
4810 "Regulation of actin cytoskeleton" "P08620"
4151 "PI3K-Akt signaling pathway" "P08620"
760 "Nicotinate and nicotinamide metabolism" "Q9NPI5"
510 "N-Glycan biosynthesis" "P15907"
514 "Other types of O-glycan biosynthesis" "P15907"
1100 "Metabolic pathways" "P15907"
3008 "Ribosome biogenesis in eukaryotes" "Q8N1G1"
4151 "PI3K-Akt signaling pathway" "P24394"
5321 "Inflammatory bowel disease (IBD)" "P24394"
4060 "Cytokine-cytokine receptor interaction" "P24394"
4630 "Jak-STAT signaling pathway" "P24394"
4640 "Hematopoietic cell lineage" "P24394"
4120 "Ubiquitin mediated proteolysis" "Q14145"
4080 "Neuroactive ligand-receptor interaction" "O00398"
4151 "PI3K-Akt signaling pathway" "P08138"
5202 "Transcriptional misregulation in cancer" "P08138"
4060 "Cytokine-cytokine receptor interaction" "P08138"
4722 "Neurotrophin signaling pathway" "P08138"
4014 "Ras signaling pathway" "P08138"
4015 "Rap1 signaling pathway" "P08138"
4360 "Axon guidance" "O95631"
4142 "Lysosome" "P53677"
4142 "Lysosome" "Q15012"
250 "Alanine, aspartate and glutamate metabolism" "P08243"
1100 "Metabolic pathways" "P08243"
4080 "Neuroactive ligand-receptor interaction" "A0A0G2JM26"
4728 "Dopaminergic synapse" "A0A0G2JM26"
5321 "Inflammatory bowel disease (IBD)" "Q9UL17"
910 "Nitrogen metabolism" "O43570"
4540 "Gap junction" "Q13163"
4010 "MAPK signaling pathway" "Q13163"
4722 "Neurotrophin signaling pathway" "Q13163"
4010 "MAPK signaling pathway" "Q9NP95"
4014 "Ras signaling pathway" "Q9NP95"
4151 "PI3K-Akt signaling pathway" "Q9NP95"
5218 "Melanoma" "Q9NP95"
5205 "Proteoglycans in cancer" "Q9NP95"
4810 "Regulation of actin cytoskeleton" "Q9NP95"
5200 "Pathways in cancer" "Q9NP95"
4015 "Rap1 signaling pathway" "Q9NP95"
4974 "Protein digestion and absorption" "Q96IY4"
4610 "Complement and coagulation cascades" "Q96IY4"
4972 "Pancreatic secretion" "Q96IY4"
4146 "Peroxisome" "Q96K12"
4514 "Cell adhesion molecules (CAMs)" "P56856"
4670 "Leukocyte transendothelial migration" "P56856"
5160 "Hepatitis C" "P56856"
4530 "Tight junction" "P56856"
4932 "Non-alcoholic fatty liver disease (NAFLD)" "O95168"
5016 "Huntington's disease" "O95168"
5010 "Alzheimer's disease" "O95168"
5012 "Parkinson's disease" "O95168"
1100 "Metabolic pathways" "O95168"
190 "Oxidative phosphorylation" "O95168"
4141 "Protein processing in endoplasmic reticulum" "Q96DZ1"
72 "Synthesis and degradation of ketone bodies" "P55809"
280 "Valine, leucine and isoleucine degradation" "P55809"
650 "Butanoate metabolism" "P55809"
3010 "Ribosome" "P46782"
5168 "Herpes simplex infection" "Q9UKJ1"
4975 "Fat digestion and absorption" "Q3SYC2"
4962 "Vasopressin-regulated water reabsorption" "P41181"
4141 "Protein processing in endoplasmic reticulum" "Q9BQI3"
5169 "Epstein-Barr virus infection" "Q9BQI3"
5164 "Influenza A" "Q9BQI3"
5168 "Herpes simplex infection" "Q9BQI3"
5160 "Hepatitis C" "Q9BQI3"
5162 "Measles" "Q9BQI3"
3010 "Ribosome" "Q13084"
3040 "Spliceosome" "Q9NW64"
1100 "Metabolic pathways" "P37059"
140 "Steroid hormone biosynthesis" "P37059"
4913 "Ovarian steroidogenesis" "P37059"
4151 "PI3K-Akt signaling pathway" "P16144"
4512 "ECM-receptor interaction" "P16144"
5412 "Arrhythmogenic right ventricular cardiomyopathy (ARVC)" "P16144"
5414 "Dilated cardiomyopathy" "P16144"
4510 "Focal adhesion" "P16144"
4810 "Regulation of actin cytoskeleton" "P16144"
5410 "Hypertrophic cardiomyopathy (HCM)" "P16144"
4141 "Protein processing in endoplasmic reticulum" "O75807"
4621 "NOD-like receptor signaling pathway" "Q15654"
140 "Steroid hormone biosynthesis" "O00204"
3010 "Ribosome" "Q02878"
1100 "Metabolic pathways" "P31930"
4932 "Non-alcoholic fatty liver disease (NAFLD)" "P31930"
5016 "Huntington's disease" "P31930"
190 "Oxidative phosphorylation" "P31930"
4260 "Cardiac muscle contraction" "P31930"
5012 "Parkinson's disease" "P31930"
5010 "Alzheimer's disease" "P31930"
5205 "Proteoglycans in cancer" "Q01664"
4350 "TGF-beta signaling pathway" "Q9H2X0"
4640 "Hematopoietic cell lineage" "P40225"
4142 "Lysosome" "Q9UJJ9"
4360 "Axon guidance" "P98172"
4514 "Cell adhesion molecules (CAMs)" "Q92896"
5222 "Small cell lung cancer" "A4D0S4"
5200 "Pathways in cancer" "A4D0S4"
4512 "ECM-receptor interaction" "A4D0S4"
5145 "Toxoplasmosis" "A4D0S4"
4510 "Focal adhesion" "A4D0S4"
4151 "PI3K-Akt signaling pathway" "A4D0S4"
5146 "Amoebiasis" "A4D0S4"
260 "Glycine, serine and threonine metabolism" "P09622"
20 "Citrate cycle (TCA cycle)" "P09622"
1100 "Metabolic pathways" "P09622"
10 "Glycolysis / Gluconeogenesis" "P09622"
280 "Valine, leucine and isoleucine degradation" "P09622"
1200 "Carbon metabolism" "P09622"
620 "Pyruvate metabolism" "P09622"
2010 "ABC transporters" "O95255"
4961 "Endocrine and other factor-regulated calcium reabsorption" "P03372"
4919 "Thyroid hormone signaling pathway" "P03372"
4917 "Prolactin signaling pathway" "P03372"
4915 "Estrogen signaling pathway" "P03372"
5205 "Proteoglycans in cancer" "P03372"
5202 "Transcriptional misregulation in cancer" "Q15744"
40 "Pentose and glucuronate interconversions" "O75191"
1100 "Metabolic pathways" "O75191"
4740 "Olfactory transduction" "O60431"
71 "Fatty acid degradation" "P07327"
830 "Retinol metabolism" "P07327"
1100 "Metabolic pathways" "P07327"
5204 "Chemical carcinogenesis" "P07327"
10 "Glycolysis / Gluconeogenesis" "P07327"
350 "Tyrosine metabolism" "P07327"
982 "Drug metabolism - cytochrome P450" "P07327"
980 "Metabolism of xenobiotics by cytochrome P450" "P07327"
4110 "Cell cycle" "Q99741"
3013 "RNA transport" "Q9NRG9"
982 "Drug metabolism - cytochrome P450" "Q99518"
520 "Amino sugar and nucleotide sugar metabolism" "Q9NR45"
1100 "Metabolic pathways" "Q9NR45"
4360 "Axon guidance" "Q9NTN9"
5204 "Chemical carcinogenesis" "Q16772"
980 "Metabolism of xenobiotics by cytochrome P450" "Q16772"
480 "Glutathione metabolism" "Q16772"
982 "Drug metabolism - cytochrome P450" "Q16772"
4723 "Retrograde endocannabinoid signaling" "O15264"
5164 "Influenza A" "O15264"
5131 "Shigellosis" "O15264"
4668 "TNF signaling pathway" "O15264"
4722 "Neurotrophin signaling pathway" "O15264"
4750 "Inflammatory mediator regulation of TRP channels" "O15264"
5132 "Salmonella infection" "O15264"
4917 "Prolactin signaling pathway" "O15264"
5205 "Proteoglycans in cancer" "O15264"
5142 "Chagas disease (American trypanosomiasis)" "O15264"
4068 "FoxO signaling pathway" "O15264"
4010 "MAPK signaling pathway" "O15264"
5160 "Hepatitis C" "O15264"
4660 "T cell receptor signaling pathway" "O15264"
5140 "Leishmaniasis" "O15264"
4914 "Progesterone-mediated oocyte maturation" "O15264"
5014 "Amyotrophic lateral sclerosis (ALS)" "O15264"
4261 "Adrenergic signaling in cardiomyocytes" "O15264"
4380 "Osteoclast differentiation" "O15264"
5169 "Epstein-Barr virus infection" "O15264"
4620 "Toll-like receptor signaling pathway" "O15264"
4622 "RIG-I-like receptor signaling pathway" "O15264"
4912 "GnRH signaling pathway" "O15264"
4670 "Leukocyte transendothelial migration" "O15264"
5145 "Toxoplasmosis" "O15264"
5152 "Tuberculosis" "O15264"
4370 "VEGF signaling pathway" "O15264"
5133 "Pertussis" "O15264"
4621 "NOD-like receptor signaling pathway" "O15264"
4015 "Rap1 signaling pathway" "O15264"
4728 "Dopaminergic synapse" "O15264"
5120 "Epithelial cell signaling in Helicobacter pylori infection" "O15264"
4664 "Fc epsilon RI signaling pathway" "O15264"
4810 "Regulation of actin cytoskeleton" "P18206"
5131 "Shigellosis" "P18206"
4670 "Leukocyte transendothelial migration" "P18206"
4520 "Adherens junction" "P18206"
5100 "Bacterial invasion of epithelial cells" "P18206"
4510 "Focal adhesion" "P18206"
5146 "Amoebiasis" "P18206"
4068 "FoxO signaling pathway" "Q96EB6"
5031 "Amphetamine addiction" "Q96EB6"
5206 "MicroRNAs in cancer" "Q96EB6"
3050 "Proteasome" "P48556"
5169 "Epstein-Barr virus infection" "P48556"
4721 "Synaptic vesicle cycle" "P61266"
4130 "SNARE interactions in vesicular transport" "P61266"
4360 "Axon guidance" "O43921"
4014 "Ras signaling pathway" "O43921"
4151 "PI3K-Akt signaling pathway" "O43921"
4015 "Rap1 signaling pathway" "O43921"
5205 "Proteoglycans in cancer" "Q9HCT0"
4014 "Ras signaling pathway" "Q9HCT0"
4810 "Regulation of actin cytoskeleton" "Q9HCT0"
4151 "PI3K-Akt signaling pathway" "Q9HCT0"
5218 "Melanoma" "Q9HCT0"
4015 "Rap1 signaling pathway" "Q9HCT0"
4010 "MAPK signaling pathway" "Q9HCT0"
5200 "Pathways in cancer" "Q9HCT0"
1100 "Metabolic pathways" "P17568"
5012 "Parkinson's disease" "P17568"
5010 "Alzheimer's disease" "P17568"
4932 "Non-alcoholic fatty liver disease (NAFLD)" "P17568"
5016 "Huntington's disease" "P17568"
190 "Oxidative phosphorylation" "P17568"
1212 "Fatty acid metabolism" "Q9NZ01"
1040 "Biosynthesis of unsaturated fatty acids" "Q9NZ01"
62 "Fatty acid elongation" "Q9NZ01"
4120 "Ubiquitin mediated proteolysis" "P49427"
5168 "Herpes simplex infection" "P49427"
5169 "Epstein-Barr virus infection" "P19388"
4623 "Cytosolic DNA-sensing pathway" "P19388"
1100 "Metabolic pathways" "P19388"
5016 "Huntington's disease" "P19388"
240 "Pyrimidine metabolism" "P19388"
3020 "RNA polymerase" "P19388"
230 "Purine metabolism" "P19388"
4110 "Cell cycle" "O75293"
4010 "MAPK signaling pathway" "O75293"
4115 "p53 signaling pathway" "O75293"
4068 "FoxO signaling pathway" "O75293"
4064 "NF-kappa B signaling pathway" "O75293"
4672 "Intestinal immune network for IgA production" "Q13477"
4514 "Cell adhesion molecules (CAMs)" "Q13477"
5160 "Hepatitis C" "P53778"
5133 "Pertussis" "P53778"
5169 "Epstein-Barr virus infection" "P53778"
4668 "TNF signaling pathway" "P53778"
4068 "FoxO signaling pathway" "P53778"
5132 "Salmonella infection" "P53778"
5120 "Epithelial cell signaling in Helicobacter pylori infection" "P53778"
4660 "T cell receptor signaling pathway" "P53778"
5140 "Leishmaniasis" "P53778"
4664 "Fc epsilon RI signaling pathway" "P53778"
5014 "Amyotrophic lateral sclerosis (ALS)" "P53778"
4917 "Prolactin signaling pathway" "P53778"
4015 "Rap1 signaling pathway" "P53778"
4621 "NOD-like receptor signaling pathway" "P53778"
5205 "Proteoglycans in cancer" "P53778"
4723 "Retrograde endocannabinoid signaling" "P53778"
5131 "Shigellosis" "P53778"
4728 "Dopaminergic synapse" "P53778"
4670 "Leukocyte transendothelial migration" "P53778"
5152 "Tuberculosis" "P53778"
4010 "MAPK signaling pathway" "P53778"
4380 "Osteoclast differentiation" "P53778"
4261 "Adrenergic signaling in cardiomyocytes" "P53778"
4620 "Toll-like receptor signaling pathway" "P53778"
4722 "Neurotrophin signaling pathway" "P53778"
5145 "Toxoplasmosis" "P53778"
4370 "VEGF signaling pathway" "P53778"
4114 "Oocyte meiosis" "P53778"
5164 "Influenza A" "P53778"
5142 "Chagas disease (American trypanosomiasis)" "P53778"
4912 "GnRH signaling pathway" "P53778"
4750 "Inflammatory mediator regulation of TRP channels" "P53778"
4914 "Progesterone-mediated oocyte maturation" "P53778"
4622 "RIG-I-like receptor signaling pathway" "P53778"
4610 "Complement and coagulation cascades" "P05546"
4130 "SNARE interactions in vesicular transport" "O95721"
360 "Phenylalanine metabolism" "P14174"
350 "Tyrosine metabolism" "P14174"
4630 "Jak-STAT signaling pathway" "P13725"
4060 "Cytokine-cytokine receptor interaction" "P13725"
4151 "PI3K-Akt signaling pathway" "P13725"
3040 "Spliceosome" "Q15459"
5322 "Systemic lupus erythematosus" "P62318"
3040 "Spliceosome" "P62318"
5131 "Shigellosis" "P28482"
4722 "Neurotrophin signaling pathway" "P28482"
4914 "Progesterone-mediated oocyte maturation" "P28482"
4015 "Rap1 signaling pathway" "P28482"
4151 "PI3K-Akt signaling pathway" "P28482"
5218 "Melanoma" "P28482"
4062 "Chemokine signaling pathway" "P28482"
5152 "Tuberculosis" "P28482"
4540 "Gap junction" "P28482"
4010 "MAPK signaling pathway" "P28482"
4320 "Dorso-ventral axis formation" "P28482"
4666 "Fc gamma R-mediated phagocytosis" "P28482"
5200 "Pathways in cancer" "P28482"
5205 "Proteoglycans in cancer" "P28482"
4810 "Regulation of actin cytoskeleton" "P28482"
5020 "Prion diseases" "P28482"
4620 "Toll-like receptor signaling pathway" "P28482"
4912 "GnRH signaling pathway" "P28482"
5220 "Chronic myeloid leukemia" "P28482"
5213 "Endometrial cancer" "P28482"
5034 "Alcoholism" "P28482"
4720 "Long-term potentiation" "P28482"
5145 "Toxoplasmosis" "P28482"
4520 "Adherens junction" "P28482"
4664 "Fc epsilon RI signaling pathway" "P28482"
4662 "B cell receptor signaling pathway" "P28482"
5206 "MicroRNAs in cancer" "P28482"
4012 "ErbB signaling pathway" "P28482"
4650 "Natural killer cell mediated cytotoxicity" "P28482"
5212 "Pancreatic cancer" "P28482"
4068 "FoxO signaling pathway" "P28482"
5132 "Salmonella infection" "P28482"
5140 "Leishmaniasis" "P28482"
4713 "Circadian entrainment" "P28482"
4360 "Axon guidance" "P28482"
5142 "Chagas disease (American trypanosomiasis)" "P28482"
5133 "Pertussis" "P28482"
4930 "Type II diabetes mellitus" "P28482"
5211 "Renal cell carcinoma" "P28482"
4114 "Oocyte meiosis" "P28482"
5161 "Hepatitis B" "P28482"
4919 "Thyroid hormone signaling pathway" "P28482"
4668 "TNF signaling pathway" "P28482"
4014 "Ras signaling pathway" "P28482"
4960 "Aldosterone-regulated sodium reabsorption" "P28482"
4916 "Melanogenesis" "P28482"
4350 "TGF-beta signaling pathway" "P28482"
5223 "Non-small cell lung cancer" "P28482"
4724 "Glutamatergic synapse" "P28482"
4150 "mTOR signaling pathway" "P28482"
5210 "Colorectal cancer" "P28482"
5010 "Alzheimer's disease" "P28482"
4660 "T cell receptor signaling pathway" "P28482"
4621 "NOD-like receptor signaling pathway" "P28482"
5219 "Bladder cancer" "P28482"
4261 "Adrenergic signaling in cardiomyocytes" "P28482"
4730 "Long-term depression" "P28482"
5214 "Glioma" "P28482"
5221 "Acute myeloid leukemia" "P28482"
5164 "Influenza A" "P28482"
4723 "Retrograde endocannabinoid signaling" "P28482"
5215 "Prostate cancer" "P28482"
4510 "Focal adhesion" "P28482"
4917 "Prolactin signaling pathway" "P28482"
5203 "Viral carcinogenesis" "P28482"
4725 "Cholinergic synapse" "P28482"
5160 "Hepatitis C" "P28482"
4066 "HIF-1 signaling pathway" "P28482"
4370 "VEGF signaling pathway" "P28482"
4270 "Vascular smooth muscle contraction" "P28482"
4910 "Insulin signaling pathway" "P28482"
4915 "Estrogen signaling pathway" "P28482"
4380 "Osteoclast differentiation" "P28482"
4726 "Serotonergic synapse" "P28482"
5216 "Thyroid cancer" "P28482"
4977 "Vitamin digestion and absorption" "P20062"
1100 "Metabolic pathways" "Q9NZ20"
565 "Ether lipid metabolism" "Q9NZ20"
4270 "Vascular smooth muscle contraction" "Q9NZ20"
590 "Arachidonic acid metabolism" "Q9NZ20"
4975 "Fat digestion and absorption" "Q9NZ20"
591 "Linoleic acid metabolism" "Q9NZ20"
4014 "Ras signaling pathway" "Q9NZ20"
564 "Glycerophospholipid metabolism" "Q9NZ20"
592 "alpha-Linolenic acid metabolism" "Q9NZ20"
4972 "Pancreatic secretion" "Q9NZ20"
1100 "Metabolic pathways" "Q96GD0"
750 "Vitamin B6 metabolism" "Q96GD0"
4141 "Protein processing in endoplasmic reticulum" "P17861"
5166 "HTLV-I infection" "P17861"
